id,ratedFloodZone,elevationDifference,postFIRMConstructionIndicator,primaryResidenceIndicator,amountPaidOnBuildingClaim,amountPaidOnContentsClaim,amountPaidOnIncreasedCostOfComplianceClaim
b2dad8bd-cd02-4e61-b05a-631241e0ed2f,X,,1,1,,,
275c62de-f953-4284-9bb9-3d8a2be9dcb9,A02,,0,0,2211.28,0.00,0.00
3827d755-fc2d-41ec-8acf-fa28cd2c2453,X,,1,1,,,
81784b2b-74ab-4ae3-b668-cb3ad5a76f12,A12,,0,1,2172.64,608.57,0.00
c981e011-a976-47d9-a6ef-c16f33b4c4d1,V13,,0,0,,,
6b2395ba-dbe1-4fbc-bb9e-d4d299022269,D,,0,0,0.00,2745.86,0.00
e3a6651f-a720-4db5-a91c-55b03e80f602,,,0,0,1457.92,0.00,0.00
2fba3f26-b7a6-49dc-a9b3-114d8bec7b5f,AE,2.0,1,1,110178.71,55100.00,0.00
2d114d71-ccef-4763-a2d6-1a4d7896a65a,AE,,0,0,1328.47,0.00,0.00
50b6bd9f-18b6-4826-967b-412b21bbcdfa,A,2.0,1,1,13000.00,4000.00,0.00
0653d6ad-ec88-4e41-a78b-83fa4fcc0607,AE,4.0,1,1,4789.07,0.00,0.00
1968ee2c-5aa0-4cb5-a150-e3e28e46959b,A04,,0,0,0.00,5582.00,0.00
204f8ef9-4f9a-4d82-9004-d451aa6e3832,A07,,0,0,2153.40,0.00,0.00
30354d0d-152e-4b77-b34a-6911006c58a9,AE,,0,0,5587.46,0.00,0.00
ced45861-e3bb-42c8-ad74-8e5628635cf4,B,,0,0,34340.12,32000.00,0.00
0b56626c-fb41-4caf-99a1-c33b50797fd9,AE,3.0,0,1,,,
13c63466-cf0c-49c9-811b-3f321080baa4,A10,,0,0,32800.00,0.00,0.00
40dc884b-7a30-4a60-9006-4e7656b65c06,AE,,0,0,2481.79,0.00,0.00
b81a38bc-3547-4169-866f-6f1583606a82,,,0,0,2000.00,0.00,0.00
3b385475-f806-4eb4-aaa6-7bd02d6ec973,A09,,0,0,,,
33380688-ad06-4e4d-86a5-08dbb91f21db,AE,,0,0,13462.12,0.00,0.00
2ef4bd49-5899-4771-9d1f-22e331f922f8,X,,1,0,,,
1ea6c3bc-3c4b-4930-a507-f694326094e3,,,0,0,0.00,1110.00,0.00
4d80bc40-3152-4b2e-a37f-228226d6c481,AE,,0,1,14627.99,4779.08,0.00
44e2af20-09eb-485d-8418-02b649449c47,X,,1,1,,,
55a2c128-3a1e-4114-b252-a704aa0b99f7,AE,2.0,0,1,,,
4f86b7b9-2b64-4019-8982-3a827508af95,AE,1.0,1,1,,,
900e4e83-abb9-4a66-bbb1-b45251283d58,AE,,0,0,20482.63,0.00,0.00
8abe1ca3-961a-4689-b7b5-a56f14bdffcf,,,0,0,249.00,0.00,0.00
9e3cabe9-9419-4ee2-bf6c-385c42338607,C,,0,0,707.00,0.00,0.00
cafbc223-7635-4376-88f8-e9e31b99868e,AE,2.0,0,1,208870.21,90802.67,0.00
35bd49d2-3328-4e02-9ae3-af2f88ba6982,A01,3.0,0,1,0.00,2500.00,0.00
383a29aa-b546-41bd-ad35-1a6c7a4c238f,,,0,0,15000.00,0.00,0.00
dcb3c88e-933a-4535-8ec3-18e5a356ab1f,X,,0,0,,,
7148d441-5d7c-4c87-b12d-e1c95e64cfb9,X,,1,1,3542.85,0.00,0.00
88b00803-46b5-480c-a1cc-3a160b0e4ba8,AE,-1.0,0,1,1550.90,0.00,0.00
be0b95cc-0326-48b3-9ed3-48cc18076b06,AE,1.0,1,0,60707.15,0.00,0.00
3a5ae97a-ef9f-4969-a928-e395023df3d5,AO,-1.0,1,1,935.90,0.00,0.00
0764b60e-dc9e-4c45-898d-1cc31f5667f5,A13,,0,0,,,
8e75755b-82a9-489d-8546-222936985df8,A,,0,0,26795.71,13813.00,0.00
4fe65fc1-80b3-4a8d-a14d-3256b5762656,AE,,0,0,9161.16,0.00,0.00
41a59151-06f2-48c7-85d6-3e28b59c673c,A06,,0,0,1193.75,1067.00,0.00
bc5ef233-0efd-4901-9cdf-3859698626c1,AE,2.0,1,0,56999.15,18138.05,0.00
0564e35f-11cf-4559-83ca-32064277ac77,,,0,0,2996.74,5082.90,0.00
9e46116c-f446-454c-9b27-9dd2b56688ac,AH,1.0,1,1,,,
b9c24dca-34aa-4744-a82e-fd5c4a0fabfa,,,0,0,8957.00,6000.00,0.00
d55876e7-4030-4aa8-88a1-db0996044052,X,,0,1,5645.11,0.00,0.00
aee88ca6-4118-47a4-a882-a389e106e454,A17,3.0,0,0,29748.71,10181.33,0.00
40d61dcc-c86f-488a-8cb4-5b89b1a7f785,,,0,0,781.99,0.00,0.00
fe68ca8b-4ead-4cd8-9425-e4e8c334971f,B,31.0,0,0,6808.60,0.00,0.00
20fd846f-5565-49ed-a3d9-84a0a871af6a,X,,0,1,4332.59,0.00,0.00
0d872716-a504-45ca-a40b-593c688badca,B,,0,0,110812.56,53247.83,0.00
47ed7640-c4af-4210-96c2-1edc1630b66f,A05,,0,0,0.00,2595.42,0.00
5174dc70-861b-4d01-8f32-422594ebedd2,B,,1,1,11082.31,451.98,0.00
f48015ba-3234-4050-810c-80728f6bdd12,AE,0.0,0,1,118275.99,50000.00,0.00
d0da6f4d-341d-41db-8686-7af80ba40e10,A,,0,0,4214.21,0.00,0.00
c081586f-6b67-412f-a1df-6ed5de2675b5,C,,0,0,,,
fd18401a-0f1b-4ee9-ae47-8a82e044996d,X,,1,0,13340.14,0.00,0.00
68699881-0ee7-4104-a13a-8c5fa4e0b074,C,,1,0,1120.60,0.00,0.00
16876739-b8c5-4438-ae29-27f6da328bb3,X,,0,1,5008.43,0.00,0.00
fa124bfe-b340-436b-a5fd-b4f705d83c12,A,,0,0,16077.13,0.00,0.00
c642482f-47d8-49a9-918e-d8254af90930,AE,,0,0,47940.33,0.00,0.00
d0dd8d3d-7770-43d1-b77a-d759f8475db7,C,,0,0,12610.30,0.00,0.00
49578811-85d8-44fb-a50b-6a18f259fcd7,,,0,0,1070.50,820.20,0.00
6f2fb246-fc3e-4114-b310-8404f50757aa,AE,,0,1,31272.78,25570.12,0.00
16332622-93b1-4051-8cee-808915cfcb2c,A10,,0,0,400000.00,150000.00,0.00
3f103e63-de63-488b-a23d-c92ce8def403,C,,0,1,8004.80,0.00,0.00
