id,amountPaidOnBuildingClaim,amountPaidOnContentsClaim,amountPaidOnIncreasedCostOfComplianceClaim,netBuildingPaymentAmount,netContentsPaymentAmount
2ffcf79f-4f25-4948-9b86-3944c5232d3c,1151.32,0.00,0.00,1151.32,0.00
6ed269a0-ba60-46b9-9d30-f2d6c04a7e8a,13107.76,0.00,0.00,13107.76,0.00
ce3de869-0c5e-40d7-9d02-dd92b97d038a,,,,0.00,0.00
14dc00d5-cb31-4d0e-9017-a20f176b1965,39382.89,43000.00,0.00,39382.89,43000.00
692a4529-0357-475f-8e20-af8b667cd9b1,,,,0.00,0.00
46da65f6-e34e-4e9d-9dd3-5646c8580f41,505.56,554.90,0.00,505.56,554.90
3fddb1c9-271e-4f80-a17a-524a1fd47a8a,,,,0.00,0.00
bdaef350-b299-4983-9dad-d27a5af67973,183800.00,33000.00,0.00,183800.00,33000.00
b8d948d3-cc6b-480f-aedd-e2d88f86035a,1150.33,0.00,0.00,1150.33,0.00
68f59f01-2b03-43ba-9a8e-d549274b3809,0.00,0.00,0.00,0.00,0.00
9eac0da1-89c8-40e6-acbc-b6c2ec01beb2,,,,0.00,0.00
74072fc2-6d2d-456f-aef5-4a954f06fb16,5577.72,0.00,0.00,5577.72,0.00
df9422a4-b3b3-4a1a-bc09-cb7f42ec9775,212494.80,0.00,0.00,212494.80,0.00
376903ca-03ed-4558-82a7-8d8b91304f43,10162.29,12933.42,0.00,10162.29,12933.42
1bccdd5a-6d6e-4710-beb1-3c71f7633dd0,90000.00,40000.00,0.00,90000.00,40000.00
228f0443-2b26-477b-a406-5291af929b33,6766.00,0.00,0.00,6766.00,0.00
27867e3d-5d2f-41ca-9052-0fb179d47fc1,14155.93,2824.22,0.00,14155.93,2824.22
996b41e2-91f6-454a-8325-1ebf7d73adb8,9406.83,620.00,0.00,9406.83,620.00
f6565ab0-9a42-4d6a-82e9-9525e7d9b561,188230.93,6865.55,0.00,188230.93,6865.55
28a3a99d-6665-49d5-9931-4574e0ed80d0,57648.40,0.00,0.00,57648.40,0.00
660c81c9-1719-48e0-b194-a155b88366c0,213455.71,36800.00,0.00,213455.71,36800.00
0fe769dd-9fd6-41a9-a1a4-3ab55d781d07,,,,0.00,0.00
1c54767c-970c-4fc3-8ed3-870f580cefa1,4491.57,0.00,0.00,4491.57,0.00
0b271cde-2063-40e7-aa52-2be851698e29,116736.12,46554.03,0.00,116736.12,46554.03
0850b723-502b-417b-84df-3fb6a303992e,27840.48,7745.40,0.00,27840.48,7745.40
c59574ed-3dc9-4a7c-a7ab-ed951bcca7e8,3780.13,4543.30,0.00,3780.13,4543.30
5f8466bb-7192-4fa1-bb58-cfd3bacd92f1,21200.00,8446.75,0.00,21200.00,8446.75
b83fc62a-a60a-497b-b050-2f9a5217db3c,,,,0.00,0.00
c96938ef-6e39-4232-9f06-d99b61015a95,7745.84,1366.41,0.00,7745.84,1366.41
2335b769-31d2-4e14-9375-61b1ffddabd0,51326.19,2362.93,0.00,51326.19,2362.93
1d6f2373-b8ca-4550-8e65-388aeff1b70e,2596.44,0.00,0.00,2596.44,0.00
e6d92c31-9670-4843-87a7-65767fd602d1,2655.28,1357.00,0.00,2655.28,1357.00
34d648ee-b430-4685-8332-1ea9c390467a,29636.54,0.00,0.00,29636.54,0.00
d6d8d145-0dae-4874-b25f-781e0ece74b7,,,,0.00,0.00
7c37f6ff-1d2c-4cf7-9084-f68ec5822afa,3307.66,16.82,0.00,3307.66,16.82
6907a14f-2cd7-4d1b-8034-a238c3a3b0a4,,,,0.00,0.00
5519ee4a-2edb-4629-904e-19147ab467ff,2211.28,0.00,0.00,2211.28,0.00
3aa969b0-3a50-40bb-bc4c-58368fcfdae2,,,,0.00,0.00
ba46e394-7afb-429f-b937-64e1e00f10e0,2172.64,608.57,0.00,2172.64,608.57
9f03e2db-a2de-4978-b1c9-be8899b7d5d5,,,,0.00,0.00
bf5896d8-f262-41bd-a626-a82455feec52,0.00,2745.86,0.00,0.00,2745.86
937e31bc-af28-4a3e-aecc-f76064f7f2c7,1457.92,0.00,0.00,1457.92,0.00
23faddfe-1104-4ccb-98dd-ab1fa813bb55,110178.71,55100.00,0.00,110178.71,55100.00
c35cc338-9e94-4e50-ba54-41929b838738,1328.47,0.00,0.00,1328.47,0.00
9395b8d2-fa20-433f-b440-8f5a2af1583a,13000.00,4000.00,0.00,13000.00,4000.00
8288ef32-cf4a-4d9c-941b-9322d74c5358,4789.07,0.00,0.00,4789.07,0.00
9cbc7141-751a-4c9b-8eff-df5383976549,0.00,5582.00,0.00,0.00,5582.00
fccd2bae-445d-495d-9f8e-1600113a676e,2153.40,0.00,0.00,2153.40,0.00
6cec9c03-7e23-4532-855b-97301b80fcdb,5587.46,0.00,0.00,5587.46,0.00
2e1d8f7f-7b57-4d50-ae57-7b548af9333e,34340.12,32000.00,0.00,34340.12,32000.00
b1051116-58c6-4950-a16c-6bedff88ae8d,,,,0.00,0.00
87db2e31-54f1-401e-9f05-5f58586944b1,32800.00,0.00,0.00,32800.00,0.00
96532757-de27-4593-a3ee-e4ce9fac1bdd,2481.79,0.00,0.00,2481.79,0.00
0c0bd4b5-b2df-4f7e-a979-e72800a5cb38,2000.00,0.00,0.00,2000.00,0.00
155cdf70-13fc-4081-aaa1-5a52fdbf74c9,,,,0.00,0.00
993d3379-de1c-4b37-9aaf-ad5347865e51,13462.12,0.00,0.00,13462.12,0.00
ee98f38b-cd0f-49a6-8667-8a4fca2afad4,,,,0.00,0.00
001bbe0c-b567-43c8-97c4-38df437cf4ca,0.00,1110.00,0.00,0.00,1110.00
4d4b202e-d5e5-43c5-9f1c-958f8dd3f4cf,14627.99,4779.08,0.00,14627.99,4779.08
806d28db-7928-43a4-a949-f75467508daa,,,,0.00,0.00
0d633dac-6d45-4951-b9fe-96ec3b787d7c,,,,0.00,0.00
2ec8ac57-ed89-4d68-abe0-5eb38ec6b6cc,,,,0.00,0.00
a87aa7f7-8514-479b-a32f-c828123c6b0e,20482.63,0.00,0.00,20482.63,0.00
f813f27b-036c-4bd7-96c4-68d1210ca381,249.00,0.00,0.00,249.00,0.00
8bb7afeb-01d4-4a75-b5c1-1dc052be9803,707.00,0.00,0.00,707.00,0.00
75ec2be4-e828-4e46-8825-9d7ec02cf8cc,208870.21,90802.67,0.00,208870.21,90802.67
20f9832c-b6c9-4076-bf80-b05c7912a7d6,0.00,2500.00,0.00,0.00,0.00
caf45413-f9c4-442c-b1a4-11f12851d43f,15000.00,0.00,0.00,15000.00,0.00
720ea8ea-d32c-4351-b211-53648ba04322,,,,0.00,0.00
